fid,LINEARID,FULLNAME,RTTYP,MTFCC,OBJECTID,FACILITYID,INTID,INCORPORAT,INCORPAREA,LASTUPDATE,NOTES,SHAPE_Leng,SHAPE_Area,crash_count,fid_2,OBJECTID_2,FACILITYID_2,INTID_2,SALESFORCE,BBP5YEARUI,PROJECTID,PROJECTIDT,PROJECTLIM,PROJECTYPE,PROJECTNAM,TOOLEUID,FOCUSAREA,PROJECTMIL,FULLNAME_2,FROMSTREET,TOSTREET,EXISTINGBI,PROPOSEDBI,HICOSTESTI,LOWCOSTEST,PRIORITYRA,PRIORITYSC,MODESHARES,SAFETYSCOR,EQUITYSCOR,COORDINATI,BACKBONENE,REVIEWCOMM,LOWPCI,PCIUID,PCIPAVEMEN,ISPRIORITY,INFOCUSARE,VISIONZERO,GREENSTORM,MAJORPAVEP,LOCALPAVEP,PAVEPROJEC,PAVEPROJ_1,ESJMTIPPRO,ESJMTIPP_1,ESJMTIPOVE,ESJMTIPNOO,ESJMTIPNOT,COSTESTIMA,PROJECTFEE,CREATIONDA,LASTUPDATE_2,NOTES_2,ENTERPRISE,GlobalID,SHAPE_Leng_2
"8166","110173518424",Clarice Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"189","208","208","208",,,,,Huran Dr (Cunningham Ave to Tully Rd),Bike Plan 2025,Huran Dr (Cunningham Ave to Tully Rd) : Class 3B (Bike Blvd),"221",East San Jose/Berryessa,0.52032055,Huran Dr,Cunningham Ave,Tully Rd,,Class 3B (Bike Blvd),64109.37445444,64109.37445444,111,32,13.23,0,18.7,pave_local,0,,44,26905,"2210085","0","1",,,,,,,,,,,,1,2747.90095071,,2021-02-02,,DOT-BPLN-0000000208,{26906065-D422-4713-89E0-8EC0C79C9CBA},2747.9009507128
"4736","110173485264",Huran Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"189","208","208","208",,,,,Huran Dr (Cunningham Ave to Tully Rd),Bike Plan 2025,Huran Dr (Cunningham Ave to Tully Rd) : Class 3B (Bike Blvd),"221",East San Jose/Berryessa,0.52032055,Huran Dr,Cunningham Ave,Tully Rd,,Class 3B (Bike Blvd),64109.37445444,64109.37445444,111,32,13.23,0,18.7,pave_local,0,,44,26905,"2210085","0","1",,,,,,,,,,,,1,2747.90095071,,2021-02-02,,DOT-BPLN-0000000208,{26906065-D422-4713-89E0-8EC0C79C9CBA},2747.9009507128
"9476","110173532872",Waverly Ave,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"189","208","208","208",,,,,Huran Dr (Cunningham Ave to Tully Rd),Bike Plan 2025,Huran Dr (Cunningham Ave to Tully Rd) : Class 3B (Bike Blvd),"221",East San Jose/Berryessa,0.52032055,Huran Dr,Cunningham Ave,Tully Rd,,Class 3B (Bike Blvd),64109.37445444,64109.37445444,111,32,13.23,0,18.7,pave_local,0,,44,26905,"2210085","0","1",,,,,,,,,,,,1,2747.90095071,,2021-02-02,,DOT-BPLN-0000000208,{26906065-D422-4713-89E0-8EC0C79C9CBA},2747.9009507128
"8405","1104485709492",Cottle Rd,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,1,"188","207","207","207",,,,,Palmia Dr (Primrose Dr to Cottle Rd),Bike Plan 2025,Palmia Dr (Primrose Dr to Cottle Rd) : Class 3B (Bike Blvd),"219",Not in Focus Area,0.17972077,Palmia Dr,Primrose Dr,Cottle Rd,,Class 3B (Bike Blvd),23029.23952398,23029.23952398,272,16,15.77,0,0,,0,,86,29056,"3120810","0","0",,,,,,,,,,,,1,949.26077095,,2021-02-02,,DOT-BPLN-0000000207,{66D19204-40B3-4CE0-BF04-7B7021B22250},949.260770948849
"8110","110173547476",Primrose Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"188","207","207","207",,,,,Palmia Dr (Primrose Dr to Cottle Rd),Bike Plan 2025,Palmia Dr (Primrose Dr to Cottle Rd) : Class 3B (Bike Blvd),"219",Not in Focus Area,0.17972077,Palmia Dr,Primrose Dr,Cottle Rd,,Class 3B (Bike Blvd),23029.23952398,23029.23952398,272,16,15.77,0,0,,0,,86,29056,"3120810","0","0",,,,,,,,,,,,1,949.26077095,,2021-02-02,,DOT-BPLN-0000000207,{66D19204-40B3-4CE0-BF04-7B7021B22250},949.260770948849
"4963","110173574736",Mount Diablo Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"191","210","210","210",,,,,Mt Vista Dr (S White Rd to Lochner Dr),Bike Plan 2025,Mt Vista Dr (S White Rd to Lochner Dr) : Class 3B (Bike Blvd),"223",Not in Focus Area,0.19654699,Mt Vista Dr,S White Rd,Lochner Dr,,Class 3B (Bike Blvd),25185.33513543,25185.33513543,64,38,19.15,0,18.7,pave_local,0,,49,27081,"2240090","0","0",,,,,,,,,,,,1,1037.99156191,,2021-02-02,,DOT-BPLN-0000000210,{A31EE633-E390-49E6-9162-9D497E3DD15A},1037.99156190639
"6672","1106087303342",Mount Palomar Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"191","210","210","210",,,,,Mt Vista Dr (S White Rd to Lochner Dr),Bike Plan 2025,Mt Vista Dr (S White Rd to Lochner Dr) : Class 3B (Bike Blvd),"223",Not in Focus Area,0.19654699,Mt Vista Dr,S White Rd,Lochner Dr,,Class 3B (Bike Blvd),25185.33513543,25185.33513543,64,38,19.15,0,18.7,pave_local,0,,49,27081,"2240090","0","0",,,,,,,,,,,,1,1037.99156191,,2021-02-02,,DOT-BPLN-0000000210,{A31EE633-E390-49E6-9162-9D497E3DD15A},1037.99156190639
"6671","1103265371584",Mt Herman Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"191","210","210","210",,,,,Mt Vista Dr (S White Rd to Lochner Dr),Bike Plan 2025,Mt Vista Dr (S White Rd to Lochner Dr) : Class 3B (Bike Blvd),"223",Not in Focus Area,0.19654699,Mt Vista Dr,S White Rd,Lochner Dr,,Class 3B (Bike Blvd),25185.33513543,25185.33513543,64,38,19.15,0,18.7,pave_local,0,,49,27081,"2240090","0","0",,,,,,,,,,,,1,1037.99156191,,2021-02-02,,DOT-BPLN-0000000210,{A31EE633-E390-49E6-9162-9D497E3DD15A},1037.99156190639
"8243","1106087300037",Mount Herman Dr,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,0,"191","210","210","210",,,,,Mt Vista Dr (S White Rd to Lochner Dr),Bike Plan 2025,Mt Vista Dr (S White Rd to Lochner Dr) : Class 3B (Bike Blvd),"223",Not in Focus Area,0.19654699,Mt Vista Dr,S White Rd,Lochner Dr,,Class 3B (Bike Blvd),25185.33513543,25185.33513543,64,38,19.15,0,18.7,pave_local,0,,49,27081,"2240090","0","0",,,,,,,,,,,,1,1037.99156191,,2021-02-02,,DOT-BPLN-0000000210,{A31EE633-E390-49E6-9162-9D497E3DD15A},1037.99156190639
"5833","1104475260635",Story Rd,M,S1400,"407","5","5",San Jose,"180.76",2024-11-08,,1430469.9566969,5039289721.31841,19,"190","209","209","209",,,,,Bal Harbor Way (Story Rd to Everglade Ave),Bike Plan 2025,Bal Harbor Way (Story Rd to Everglade Ave) : Class 3B (Bike Blvd),"222",East San Jose/Berryessa,0.30323575,Bal Harbor Wy,Story Rd,Everglade Ave,,Class 3B (Bike Blvd),37361.98002823,37361.98002823,70,37,18.53,0,18.7,,0,,48,26803,"2190010","0","1",,,,2023,,LOCAL 2023,,,,,,1,1601.45194671,,2021-02-02,,DOT-BPLN-0000000209,{E239EAA2-23A8-481E-BDF5-F5BA7408EB9D},1601.4519467187
